article_author_ip,article_author,counts
1.160.170.145,nicholas0406 ,1
1.168.101.180,chungrew ,6
1.168.66.3,snh48spush ,2
1.171.129.50,akway ,2
1.171.99.204,Zionward ,4
1.173.129.18,myIDis7 ,2
1.200.10.224,purplvampire ,2
1.200.254.156,adagiox ,9
101.10.58.63,CenaC ,1
101.10.59.232,GenghisKhan ,1
101.12.103.187,GenghisKhan ,1
101.136.185.133,ysb727 ,1
101.136.251.39,ysb727 ,3
101.136.60.126,coober ,3
101.136.82.106,coober ,3
101.137.225.126,coober ,1
101.9.100.216,adagiox ,1
106.1.248.69,nightwing ,10
110.26.129.179,chen740530 ,3
110.26.158.25,snh48spush ,1
110.26.94.30,snh48spush ,1
110.28.69.227,yun0615ch ,3
110.30.96.222,chen740530 ,3
110.30.97.77,yun0615ch ,1
111.240.116.127,Ferrara ,1
111.240.117.102,Ferrara ,1
111.240.165.20,ceiba5566 ,6
111.240.167.52,ceiba5566 ,3
111.243.138.118,RichWomen ,7
111.243.138.118,abc1204 ,1
111.248.2.187,nicholas0406 ,1
111.248.25.165,nicholas0406 ,3
111.248.5.148,nicholas0406 ,4
111.250.196.121,joe6304105 ,5
111.250.34.94,sunyeah ,1
111.251.20.13,GenghisKhan ,3
111.255.3.59,stevencool ,1
111.71.23.99,liang691206 ,5
112.78.79.21,joe6304105 ,4
112.78.95.174,myIDis7 ,1
114.136.102.87,DDDDRR ,2
114.136.126.19,DDDDRR ,1
114.136.149.164,akway ,3
114.136.48.116,coober ,2
114.136.78.79,DDDDRR ,1
114.136.83.60,DDDDRR ,2
114.137.144.171,waynecode ,3
114.137.26.216,Ferrara ,4
114.137.56.235,Ferrara ,2
114.24.214.184,winall ,2
114.24.231.115,winall ,5
114.27.177.27,hayuyang ,9
114.34.15.151,wupaul ,2
114.40.126.165,geordie ,3
114.40.161.93,geordie ,1
114.43.152.100,IronCube ,2
114.43.8.28,gogoto990 ,2
114.44.111.50,akway ,3
114.44.114.71,waynecode ,1
114.44.128.129,waynecode ,1
114.44.202.205,win8719 ,3
114.44.202.50,win8719 ,4
114.46.33.72,takuminauki ,4
114.46.65.39,takuminauki ,2
114.46.67.137,takuminauki ,4
114.46.69.62,takuminauki ,1
116.89.139.198,myIDis7 ,1
118.160.66.130,ysb727 ,5
118.161.240.212,gogoto990 ,2
118.168.191.117,IronCube ,3
118.169.179.231,a15661263 ,6
118.169.25.106,TheoEpstein ,3
118.169.25.130,TheoEpstein ,5
118.169.34.35,TheoEpstein ,1
121.254.66.76,q347 ,9
123.192.113.200,zkowntu ,9
123.194.157.160,macaron5566 ,7
123.51.165.96,Zcould ,1
125.227.22.135,a10141013 ,2
125.8.135.111,ke0119 ,6
140.112.175.74,goldenfire ,3
140.112.25.101,goldenfire ,1
140.112.71.142,eunhailoveu ,1
172.58.40.49,genheit ,1
180.176.16.121,eunhailoveu ,7
180.177.123.190,purplvampire ,4
180.217.138.43,myIDis7 ,4
180.217.18.97,jason486 ,5
180.217.246.131,TheoEpstein ,2
180.217.247.56,purue ,1
180.217.74.104,yun0615ch ,1
182.234.101.54,yoyoflag ,13
203.75.79.40,Tosca ,7
211.21.108.73,Ophiuchus ,9
218.35.134.74,yniori ,6
220.129.239.152,Zcould ,2
220.133.8.201,bigbowl ,7
220.138.126.43,purue ,1
220.138.126.77,purue ,1
220.141.38.111,syw20 ,7
223.136.71.53,WeiKitten ,6
223.136.87.17,goldenfire ,2
223.137.45.17,akway ,1
223.137.64.70,liang691206 ,3
223.137.93.112,liang691206 ,5
223.138.55.254,ppp123 ,8
223.139.170.55,geordie ,1
223.139.78.31,geordie ,1
223.140.105.236,IronCube ,1
223.140.17.95,DDDDRR ,1
223.140.201.86,akway ,5
27.242.165.68,JamesSoong ,1
27.242.230.213,Zcould ,1
27.51.8.15,chen740530 ,3
27.52.124.29,sea130281 ,6
27.52.218.114,CavendishJr ,13
27.52.73.98,gogoto990 ,2
36.224.159.102,z739 ,1
36.224.159.245,z739 ,3
36.225.109.82,CenaC ,3
36.225.2.109,amgdaaaa ,5
36.225.79.5,amgdaaaa ,1
36.225.92.185,CenaC ,8
36.226.166.108,TheoEpstein ,3
36.227.251.63,syw20 ,3
36.229.31.59,a10141013 ,3
36.229.39.29,a10141013 ,4
36.229.43.111,songgood ,1
36.229.63.111,songgood ,4
36.230.89.27,Zcould ,2
36.231.102.2,JamesSoong ,5
36.231.54.38,JamesSoong ,3
36.234.173.6,abc1204 ,6
36.239.104.44,myIDis7 ,1
36.239.142.2,Tosca ,1
39.10.65.172,yun0615ch ,1
39.10.94.57,snh48spush ,1
39.11.96.103,purplvampire ,1
39.12.7.208,chen740530 ,1
39.8.94.6,snh48spush ,1
39.9.131.159,nicholas0406 ,3
42.73.245.46,wupaul ,4
42.76.76.212,Ferrara ,3
42.76.76.213,Ferrara ,2
42.77.132.96,stevencool ,1
42.77.20.164,stevencool ,2
42.77.220.199,stevencool ,4
42.77.249.119,akway ,1
42.77.254.38,stevencool ,1
49.216.102.206,GenghisKhan ,1
49.216.167.158,z739 ,2
49.216.90.133,songgood ,3
49.217.137.102,chungrew ,1
49.217.65.64,Pietro ,10
59.120.151.224,Zionward ,3
59.124.7.225,Riyuberg ,7
60.248.152.43,a10141013 ,1
60.248.91.73,sunyeah ,5
60.250.65.252,waynecode ,2
61.227.116.147,kuninaka ,11
61.230.1.162,jason486 ,1
61.65.249.43,purue ,6
73.193.7.23,genheit ,6
73.35.250.157,miler22020 ,9
